date,campaignn,adgroup,ad,impressions,clicks,costs,leads
01.03.18,campaign_1,adgroup_1,ad_1,272,96,28,1
02.03.18,campaign_1,adgroup_1,ad_1,288,90,28,2
03.03.18,campaign_1,adgroup_1,ad_1,270,103,35,0
04.03.18,campaign_1,adgroup_1,ad_1,208,83,27,1
05.03.18,campaign_1,adgroup_1,ad_1,217,100,31,3
06.03.18,campaign_1,adgroup_1,ad_1,248,91,31,5
07.03.18,campaign_1,adgroup_1,ad_1,243,86,26,2
08.03.18,campaign_1,adgroup_1,ad_1,222,104,33,3
09.03.18,campaign_1,adgroup_1,ad_1,199,96,32,2
10.03.18,campaign_1,adgroup_1,ad_1,225,91,30,4
11.03.18,campaign_1,adgroup_1,ad_1,235,106,32,3
12.03.18,campaign_1,adgroup_1,ad_1,231,90,30,1
13.03.18,campaign_1,adgroup_1,ad_1,271,88,25,2
14.03.18,campaign_1,adgroup_1,ad_1,197,103,35,2
01.03.18,campaign_1,adgroup_2,ad_1,121,35,9,2
02.03.18,campaign_1,adgroup_2,ad_1,92,31,9,3
03.03.18,campaign_1,adgroup_2,ad_1,63,32,9,5
04.03.18,campaign_1,adgroup_2,ad_1,92,42,11,3
05.03.18,campaign_1,adgroup_2,ad_1,82,42,11,2
06.03.18,campaign_1,adgroup_2,ad_1,66,30,8,1
07.03.18,campaign_1,adgroup_2,ad_1,105,37,9,4
08.03.18,campaign_1,adgroup_2,ad_1,112,39,11,2
09.03.18,campaign_1,adgroup_2,ad_1,101,42,12,3
10.03.18,campaign_1,adgroup_2,ad_1,50,27,8,4
11.03.18,campaign_1,adgroup_2,ad_1,90,29,8,2
12.03.18,campaign_1,adgroup_2,ad_1,64,27,7,1
13.03.18,campaign_1,adgroup_2,ad_1,58,30,8,4
14.03.18,campaign_1,adgroup_2,ad_1,70,30,8,6
01.03.18,campaign_1,adgroup_2,ad_2,24,8,3,5
02.03.18,campaign_1,adgroup_2,ad_2,37,11,3,3
03.03.18,campaign_1,adgroup_2,ad_2,22,9,3,6
04.03.18,campaign_1,adgroup_2,ad_2,25,13,4,2
05.03.18,campaign_1,adgroup_2,ad_2,42,15,4,7
06.03.18,campaign_1,adgroup_2,ad_2,24,12,4,2
07.03.18,campaign_1,adgroup_2,ad_2,20,9,3,1
08.03.18,campaign_1,adgroup_2,ad_2,54,17,5,0
09.03.18,campaign_1,adgroup_2,ad_2,29,9,3,2
10.03.18,campaign_1,adgroup_2,ad_2,36,16,5,4
11.03.18,campaign_1,adgroup_2,ad_2,42,12,4,2
12.03.18,campaign_1,adgroup_2,ad_2,33,12,4,5
13.03.18,campaign_1,adgroup_2,ad_2,29,10,3,2
14.03.18,campaign_1,adgroup_2,ad_2,39,13,4,3
01.03.18,campaign_1,adgroup_3,ad_1,58,27,11,12
02.03.18,campaign_1,adgroup_3,ad_1,67,31,12,14
03.03.18,campaign_1,adgroup_3,ad_1,117,39,16,12
04.03.18,campaign_1,adgroup_3,ad_1,108,37,15,9
05.03.18,campaign_1,adgroup_3,ad_1,79,38,17,15
06.03.18,campaign_1,adgroup_3,ad_1,106,35,15,13
07.03.18,campaign_1,adgroup_3,ad_1,62,30,12,8
08.03.18,campaign_1,adgroup_3,ad_1,111,37,17,14
09.03.18,campaign_1,adgroup_3,ad_1,79,37,16,18
10.03.18,campaign_1,adgroup_3,ad_1,76,36,16,14
11.03.18,campaign_1,adgroup_3,ad_1,73,35,14,11
12.03.18,campaign_1,adgroup_3,ad_1,71,29,12,16
13.03.18,campaign_1,adgroup_3,ad_1,92,39,18,11
14.03.18,campaign_1,adgroup_3,ad_1,100,32,14,9
01.03.18,campaign_1,adgroup_3,ad_2,110,36,13,3
02.03.18,campaign_1,adgroup_3,ad_2,80,43,16,5
03.03.18,campaign_1,adgroup_3,ad_2,78,36,15,2
04.03.18,campaign_1,adgroup_3,ad_2,92,33,13,3
05.03.18,campaign_1,adgroup_3,ad_2,78,39,14,0
06.03.18,campaign_1,adgroup_3,ad_2,67,30,12,2
07.03.18,campaign_1,adgroup_3,ad_2,119,42,16,4
08.03.18,campaign_1,adgroup_3,ad_2,95,32,11,2
09.03.18,campaign_1,adgroup_3,ad_2,94,39,15,0
10.03.18,campaign_1,adgroup_3,ad_2,101,42,16,4
11.03.18,campaign_1,adgroup_3,ad_2,116,34,13,3
12.03.18,campaign_1,adgroup_3,ad_2,135,40,15,2
13.03.18,campaign_1,adgroup_3,ad_2,62,31,11,1
14.03.18,campaign_1,adgroup_3,ad_2,117,42,15,4
01.03.18,campaign_1,adgroup_3,ad_3,195,65,23,6
02.03.18,campaign_1,adgroup_3,ad_3,174,52,19,7
03.03.18,campaign_1,adgroup_3,ad_3,271,86,33,5
04.03.18,campaign_1,adgroup_3,ad_3,115,62,21,7
05.03.18,campaign_1,adgroup_3,ad_3,196,78,25,3
06.03.18,campaign_1,adgroup_3,ad_3,222,94,35,8
07.03.18,campaign_1,adgroup_3,ad_3,298,95,35,6
08.03.18,campaign_1,adgroup_3,ad_3,184,85,32,4
09.03.18,campaign_1,adgroup_3,ad_3,127,44,16,8
10.03.18,campaign_1,adgroup_3,ad_3,129,54,18,3
11.03.18,campaign_1,adgroup_3,ad_3,136,51,18,5
12.03.18,campaign_1,adgroup_3,ad_3,260,81,28,7
13.03.18,campaign_1,adgroup_3,ad_3,200,87,28,5
14.03.18,campaign_1,adgroup_3,ad_3,82,42,14,4
